,Member_type,Duration(day)
913,bachelor degree,22.0
914,bachelor degree,28.0
915,bachelor degree,27.0
916,bachelor degree,28.0
917,bachelor degree,28.0
918,bachelor degree,26.0
919,bachelor degree,9.0
920,bachelor degree,20.0
921,bachelor degree,12.0
922,bachelor degree,28.0
923,bachelor degree,27.0
925,bachelor degree,23.0
926,bachelor degree,28.0
927,bachelor degree,28.0
928,bachelor degree,14.0
929,bachelor degree,18.0
930,bachelor degree,14.0
931,bachelor degree,7.0
933,bachelor degree,31.0
934,bachelor degree,24.0
936,bachelor degree,14.0
937,bachelor degree,15.0
938,bachelor degree,4.0
939,bachelor degree,31.0
940,bachelor degree,12.0
941,bachelor degree,5.0
942,bachelor degree,10.0
943,bachelor degree,7.0
944,bachelor degree,2.0
945,bachelor degree,14.0
946,bachelor degree,27.0
947,bachelor degree,25.0
948,bachelor degree,7.0
949,bachelor degree,7.0
950,bachelor degree,3.0
951,bachelor degree,33.0
952,bachelor degree,14.0
953,bachelor degree,8.0
954,bachelor degree,11.0
955,bachelor degree,32.0
956,bachelor degree,14.0
957,bachelor degree,14.0
958,bachelor degree,3.0
959,bachelor degree,13.0
960,bachelor degree,15.0
961,bachelor degree,19.0
962,bachelor degree,18.0
963,bachelor degree,8.0
964,bachelor degree,23.0
966,bachelor degree,7.0
967,bachelor degree,20.0
968,bachelor degree,4.0
969,bachelor degree,29.0
970,bachelor degree,26.0
971,bachelor degree,20.0
972,bachelor degree,14.0
973,bachelor degree,14.0
974,bachelor degree,15.0
975,bachelor degree,14.0
976,bachelor degree,8.0
977,bachelor degree,29.0
978,bachelor degree,7.0
979,bachelor degree,14.0
981,bachelor degree,22.0
982,bachelor degree,6.0
983,bachelor degree,6.0
984,bachelor degree,29.0
985,bachelor degree,28.0
986,bachelor degree,14.0
987,bachelor degree,14.0
988,bachelor degree,26.0
989,bachelor degree,26.0
990,bachelor degree,14.0
991,bachelor degree,19.0
992,bachelor degree,5.0
993,bachelor degree,8.0
994,bachelor degree,14.0
995,bachelor degree,8.0
996,bachelor degree,36.0
997,bachelor degree,91.0
998,bachelor degree,2.0
999,bachelor degree,6.0
1000,bachelor degree,2.0
1001,bachelor degree,18.0
1002,bachelor degree,13.0
1003,bachelor degree,12.0
1004,bachelor degree,13.0
1005,bachelor degree,28.0
1006,bachelor degree,22.0
1007,bachelor degree,2.0
1008,bachelor degree,1.0
1009,bachelor degree,7.0
1010,bachelor degree,14.0
1011,bachelor degree,20.0
1012,bachelor degree,12.0
1013,bachelor degree,2.0
1014,bachelor degree,4.0
1015,bachelor degree,15.0
1016,bachelor degree,1.0
1017,bachelor degree,22.0
1018,bachelor degree,3.0
1019,bachelor degree,21.0
1020,bachelor degree,15.0
1021,bachelor degree,14.0
1022,bachelor degree,27.0
1023,bachelor degree,8.0
1024,bachelor degree,14.0
1025,bachelor degree,9.0
1026,bachelor degree,4.0
1027,bachelor degree,14.0
1028,bachelor degree,14.0
1029,bachelor degree,38.0
1030,bachelor degree,4.0
1031,bachelor degree,14.0
1032,bachelor degree,15.0
1033,bachelor degree,5.0
1034,bachelor degree,14.0
1036,bachelor degree,16.0
1037,bachelor degree,21.0
1038,bachelor degree,13.0
1039,bachelor degree,50.0
1040,bachelor degree,141.0
1041,bachelor degree,10.0
1042,bachelor degree,32.0
1043,bachelor degree,3.0
1044,bachelor degree,11.0
1045,bachelor degree,13.0
1046,bachelor degree,26.0
1047,bachelor degree,4.0
1048,bachelor degree,5.0
1049,bachelor degree,4.0
1050,bachelor degree,56.0
1052,bachelor degree,13.0
1053,bachelor degree,6.0
1054,bachelor degree,15.0
1055,bachelor degree,7.0
1056,bachelor degree,22.0
1057,bachelor degree,15.0
1058,bachelor degree,13.0
1059,bachelor degree,19.0
1060,bachelor degree,5.0
1061,bachelor degree,33.0
1062,bachelor degree,19.0
1063,bachelor degree,6.0
1064,bachelor degree,11.0
1065,bachelor degree,7.0
1067,bachelor degree,28.0
1068,bachelor degree,98.0
1069,bachelor degree,6.0
1070,bachelor degree,4.0
1071,bachelor degree,3.0
1072,bachelor degree,22.0
1073,bachelor degree,15.0
1074,bachelor degree,5.0
1075,bachelor degree,2.0
1076,bachelor degree,11.0
1077,bachelor degree,14.0
1078,bachelor degree,13.0
1079,bachelor degree,20.0
1080,bachelor degree,14.0
1081,bachelor degree,13.0
1082,bachelor degree,93.0
1083,bachelor degree,14.0
1084,bachelor degree,18.0
1085,bachelor degree,15.0
1086,bachelor degree,14.0
1087,bachelor degree,14.0
1088,bachelor degree,14.0
1089,bachelor degree,6.0
1090,bachelor degree,3.0
1091,bachelor degree,126.0
1092,bachelor degree,14.0
1093,bachelor degree,17.0
1094,bachelor degree,15.0
1095,bachelor degree,3.0
1096,bachelor degree,13.0
1097,bachelor degree,14.0
1098,bachelor degree,10.0
1100,bachelor degree,3.0
1101,bachelor degree,20.0
1102,bachelor degree,3.0
1104,bachelor degree,7.0
1105,bachelor degree,21.0
1106,bachelor degree,19.0
1107,bachelor degree,8.0
1108,bachelor degree,13.0
1110,bachelor degree,17.0
1111,bachelor degree,11.0
1112,bachelor degree,17.0
1113,bachelor degree,13.0
1114,bachelor degree,35.0
1115,bachelor degree,16.0
1116,bachelor degree,10.0
1117,bachelor degree,28.0
1118,bachelor degree,17.0
1119,bachelor degree,22.0
1120,bachelor degree,20.0
1121,bachelor degree,13.0
1122,bachelor degree,7.0
1123,bachelor degree,36.0
1124,bachelor degree,15.0
1125,bachelor degree,12.0
1126,bachelor degree,6.0
1127,bachelor degree,3.0
1128,bachelor degree,7.0
1129,bachelor degree,83.0
1130,bachelor degree,3.0
1132,bachelor degree,9.0
